date,cat,geo,gprop,arrival,emigrant,emigrate,emigration,immigrant,immigrate,immigration,legalization,migrant,migrate,migration,passport,quota,required documents,visa,waiver
2004-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-06-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2004-10-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-11-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
2004-12-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
2005-05-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,0,AF,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2005-07-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
2006-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
2006-02-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
2006-04-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
2006-05-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
2006-09-01,0,AF,,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0
2006-10-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2006-11-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
2006-12-01,0,AF,,0,0,0,0,0,0,40,0,0,0,0,0,0,0,31,0
2007-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0
2007-02-01,0,AF,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2007-03-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2007-04-01,0,AF,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2007-05-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,48,0,0,58,0
2007-06-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
2007-07-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
2007-08-01,0,AF,,0,0,0,0,0,0,29,0,0,0,0,47,0,0,0,0
2007-09-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2007-10-01,0,AF,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2007-12-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,100,0,37,0
2008-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,38,0,0,68,0
2008-02-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,37,0,0,50,0
2008-03-01,0,AF,,0,0,0,0,0,0,21,0,0,0,0,0,0,0,14,0
2008-04-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,43,100
2008-05-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2008-06-01,0,AF,,0,0,0,0,0,0,19,0,0,0,0,31,0,0,41,92
2008-07-01,0,AF,,0,0,0,100,0,0,57,0,0,100,62,0,0,0,38,0
2008-08-01,0,AF,,52,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2008-09-01,0,AF,,0,100,0,0,68,100,18,0,48,0,0,0,0,0,13,0
2008-10-01,0,AF,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,50,0
2008-11-01,0,AF,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,26,0
2008-12-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
2009-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
2009-02-01,0,AF,,0,0,0,0,0,0,33,0,0,0,0,0,0,0,23,0
2009-03-01,0,AF,,0,0,0,0,0,0,14,0,0,0,0,22,0,0,29,0
2009-04-01,0,AF,,0,0,0,0,0,0,15,0,0,0,100,0,0,0,10,0
2009-05-01,0,AF,,38,0,0,0,0,72,13,0,0,0,21,0,0,0,9,0
2009-06-01,0,AF,,0,0,0,0,0,0,13,0,0,0,42,41,0,0,18,0
